rank,aspect,mention_count,pct_of_aspects,mean_sentiment,median_sentiment,std_sentiment
478,popularity,3,0.0,4.333,5.0,1.155
479,planning and booking,3,0.0,3.667,4.0,0.577
480,duration of visit,3,0.0,3.0,3.0,0.0
481,country selection,3,0.0,4.333,4.0,0.577
482,planning and organization,3,0.0,3.667,4.0,1.528
483,lifestyle,3,0.0,4.333,5.0,1.155
484,history and culture,3,0.0,4.333,5.0,1.155
485,honesty of locals,3,0.0,5.0,5.0,0.0
486,driving conditions,3,0.0,2.667,2.0,1.155
487,honeymoon destination,3,0.0,3.667,5.0,2.309
488,layovers,3,0.0,3.333,4.0,1.155
489,stopover,3,0.0,3.0,3.0,0.0
490,crowds and tourism,3,0.0,3.333,4.0,1.155
491,dress code,3,0.0,4.333,5.0,1.155
492,street art,3,0.0,5.0,5.0,0.0
493,scooter rental,3,0.0,4.333,4.0,0.577
494,local behavior,3,0.0,2.333,2.0,1.528
495,beer,3,0.0,3.667,3.0,1.155
496,beach town,3,0.0,4.0,4.0,1.0
497,transport,3,0.0,5.0,5.0,0.0
498,beach towns,3,0.0,3.333,3.0,1.528
499,cenotes,3,0.0,4.667,5.0,0.577
500,beach/coast,3,0.0,4.667,5.0,0.577
501,town experience,3,0.0,3.667,4.0,1.528
502,barcelona,3,0.0,4.333,5.0,1.155
503,bar/nightlife,3,0.0,4.333,4.0,0.577
504,village charm,3,0.0,4.333,4.0,0.577
505,cathedral,3,0.0,4.333,4.0,0.577
506,boat tours,3,0.0,4.333,4.0,0.577
507,walking tours,3,0.0,5.0,5.0,0.0
508,travel plans,3,0.0,3.0,3.0,0.0
509,amusement park,3,0.0,4.667,5.0,0.577
510,beach/relaxation,3,0.0,4.667,5.0,0.577
511,age of travelers,3,0.0,4.0,4.0,0.0
512,biking,3,0.0,4.333,4.0,0.577
513,train station,3,0.0,3.0,2.0,1.732
514,travel safety,3,0.0,3.333,3.0,0.577
515,beaches/lakes,3,0.0,5.0,5.0,0.0
516,travel style,3,0.0,4.0,4.0,1.0
517,wineries,3,0.0,4.0,4.0,0.0
518,train experience,3,0.0,3.667,4.0,1.528
519,accommodation logistics,3,0.0,2.333,2.0,0.577
520,bars,3,0.0,4.333,5.0,1.155
521,art and culture,3,0.0,4.667,5.0,0.577
522,viewpoint,3,0.0,5.0,5.0,0.0
523,cities and towns,3,0.0,4.0,4.0,0.0
524,vineyards,3,0.0,4.667,5.0,0.577
525,beach accessibility,3,0.0,3.333,3.0,1.528
